planner planner,Quartet,Alberto Granzotto,vrde,https://github.com/vrde/planner-planner,94,https://bhnt.c-base.org/2024-02-27-no94-reality-hacks
Rebels in The Sky,Quartet,Alessandro Ricottone,ricott1,https://github.com/ricott1/rebels-in-the-sky,93,https://bhnt.c-base.org/2024-01-30-no93-unlocked-hacks
wgbot,Quartet,Isak Solheim,isaksolheim,https://github.com/isaksolheim/gesucht,92,https://bhnt.c-base.org/2023-11-28-no92-closedai-hacks
qTrek.bas,Triplet,Philipp Strathausen,strathausen,https://github.com/strathausen/qtrek.bas,30,https://bhnt.c-base.org/2014-08-26-no30-back-from-the-dead
Gateway,Triplet,Alexander Sulim,soulim,https://github.com/soulim/gateway,83,https://bhnt.c-base.org/2022-11-29-no83-hacks-sink-in
thesolar.website,Triplet,Álvaro Cañas,Alvaro-c,https://github.com/Alvaro-c/thesolar.website,86,https://bhnt.c-base.org/2023-02-28-no86-hackgpt
Hexliterate,Triplet,Simon Alfassa,ssimono,https://github.com/ssimono/hexliterate,72,https://bhnt.c-base.org/2019-06-25-no72-off-by-one
wakkle,Duplet,Friedrich Schultheiss,symdesign,https://github.com/symdesign/wakkle,64,https://bhnt.c-base.org/2018-08-28-no64-hackable
6502 Emulator,Duplet,Nikolas Martens,rtens,https://github.com/rtens/6502,60,https://bhnt.c-base.org/2018-04-24-no60-hacker-hearing
touchockey,Duplet,Jocelyn Turcotte,jturcotte,https://github.com/jturcotte/touchockey,32,https://bhnt.c-base.org/2015-02-24-no32-carnival-is-gone
Mate Light Raytracer,Duplet,Michael Kreil,MichaelKreil,https://github.com/MichaelKreil/matelight-playground/blob/master/raytrace1.js,29,https://bhnt.c-base.org/2014-04-29-no29-back-in-hack
Mate Light,Duplet,Jan Sebastian Götte,jaseg,https://github.com/jaseg/matelight,27,https://bhnt.c-base.org/2014-01-28-no27-new-year